,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 2]",1,0.1,0.01,l,mse,316,0.25153044362862903
chl_a,"[4, 4, 2]",1,0.1,0.01,l,mse,387,0.15030439694722494
chl_b,"[4, 4, 2]",1,0.1,0.01,l,mse,354,0.26428476969401044
chc12,"[4, 4, 2]",1,0.1,0.01,l,mse,346,0.16466311117013296
fucox,"[4, 4, 2]",1,0.1,0.01,l,mse,343,0.1838152458270391
hxfcx,"[4, 2]",1,0.1,0.01,m,mse,171,0.3463692565759023
btfcx,"[4, 4, 2]",1,0.1,0.01,l,mse,175,0.6799370050430298
diadi,"[4, 4, 2]",1,0.1,0.01,l,mse,366,0.17368114491303763
allox,"[4, 2]",1,0.1,0.01,m,mse,261,0.3224707345167796
diato,"[4, 2]",1,0.1,0.01,m,mse,241,0.29078929622968036
zeaxa,"[4, 4, 2]",1,0.1,0.01,l,mse,309,0.48757731914520264
betac,"[4, 2]",1,0.1,0.01,m,mse,350,0.16535033782323202
perid,"[4, 4, 2]",1,0.1,0.01,l,mse,436,0.16653756300608316
