,dims,kernel_sizes,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,480,0.22093197206656137
chl_a,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,436,0.14887142678101858
chl_b,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,406,0.23634877304236093
chc12,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,398,0.1594946285088857
fucox,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,463,0.15999528268973032
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,510,0.21568542222181955
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,569,0.32421688238779706
diadi,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,455,0.14336349815130234
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,457,0.2636104126771291
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,499,0.18438347180684408
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",1,0.0,0.01,m,mse,609,0.28536630670229596
betac,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,348,0.18363747000694275
perid,"[4, 4, 4]","[3, 5, 7]",1,0.0,0.01,s,mse,378,0.19850040475527445
