,dims,output_dim,dropout,reg_factor,name,loss,epochs,val_loss
chlid,"[4, 2]",1,0.1,0.01,s,mse,272,0.3240311841169993
chl_a,"[4, 2]",1,0.1,0.01,s,mse,268,0.22661870221296945
chl_b,"[4, 2]",1,0.1,0.01,s,mse,401,0.3376404941082001
chc12,"[4, 2]",1,0.1,0.01,s,mse,267,0.22261871894200644
fucox,"[4, 2]",1,0.1,0.01,s,mse,267,0.2326131910085678
hxfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,343,0.4663601318995158
btfcx,"[8, 4, 2]",1,0.1,0.01,m,mse,312,0.6152740518252054
diadi,"[4, 2]",1,0.1,0.01,s,mse,263,0.25828324755032855
allox,"[4, 2]",1,0.1,0.01,s,mse,336,0.40825363000233966
diato,"[4, 2]",1,0.1,0.01,s,mse,336,0.3618699610233307
zeaxa,"[8, 4, 2]",1,0.1,0.01,m,mse,292,0.6332286397616068
betac,"[4, 2]",1,0.1,0.01,s,mse,263,0.24643829961617789
perid,"[4, 2]",1,0.1,0.01,s,mse,283,0.2883524000644684
