,chlide,chla,chlb,chlc12,fuco,hex,but,diad,allo,diato,zea,caro,peri
400,0.05080700436207865,0.0844684368743661,0.10940658164742802,0.07889598284548681,0.07030162610213406,0.16530460257282747,0.22562846684429264,0.08878891164204106,0.1422772277333674,0.15786241234413215,0.2382671794122351,0.10148611501790583,0.07781364918628242
412,0.09243328714676734,0.09028392862195947,0.10895335920421141,0.08046688575996086,0.09342648349619205,0.15850953804744808,0.22668143611268274,0.08113530190062843,0.09754712478024885,0.11639587029016443,0.13975968719751108,0.09666179704280305,0.11958382218810064
442,0.24939032165067537,0.28770712290757466,0.2751974235447311,0.30565660327140776,0.31618680957970874,0.2454607037029096,0.4954062419962741,0.224242568448452,0.43087411099778755,0.3168742755827095,0.203189573733003,0.27259618203554836,0.14248487512980187
490,0.19953956010950996,0.2215581051173753,0.16692669548293843,0.23664434835414536,0.22588873639636273,0.30551832302340437,0.6358308235981635,0.1992508737436895,0.3749007701075503,0.335117463820747,0.36936200336952296,0.2258236352437442,0.07274000920421843
510,0.10600661037356726,0.08258668635971844,0.10851488457826365,0.06670872610993683,0.05865453670100708,0.14395370171405375,0.26243449082332,0.0758372612430581,0.10274459032474884,0.10963693279440381,0.2575885336846113,0.12210803589342893,0.1048191684531048
560,0.2957702805620751,0.32194909317019793,0.3545002093950253,0.3525564657923366,0.34681356192699503,0.31597715576312374,0.46565189664917334,0.2926293235006077,0.4255881624828492,0.36876309177439126,0.26675302535295486,0.24722047496054853,0.237172580141175
620,0.18075181121405745,0.26324352814948987,0.17390705412253737,0.27535905233318253,0.2645602750594013,0.3305563672911376,0.7367175264017922,0.23226649025205656,0.3899959960420217,0.3634790928169553,0.27868095469394966,0.2386085872214088,0.09169533873708653
665,0.09702818059927917,0.09037186757528357,0.13656588098300354,0.08820541345215004,0.10113074368252585,0.17952555102030082,0.24741527271856154,0.09274104234230306,0.1413365871246372,0.13998041381793364,0.14040389634984812,0.08520342742225953,0.09123978750514132
673,0.12577907812997832,0.13285086430343135,0.12408046158296722,0.11445453211178704,0.1144912250123785,0.13463885759535646,0.36098730454354416,0.10392233895254321,0.22785903848957137,0.12381565717181989,0.14108555722382984,0.13608275084490223,0.1444040768380676
681,0.1748197245677667,0.2002212330698967,0.34322845115925055,0.15975788869296334,0.1698833234425235,0.08610118463236306,0.18402319361588784,0.09774108608481973,0.12241358597488475,0.08603631372430495,0.2569394788837859,0.21840743002082622,0.16814499431555824
708,0.10525956173660234,0.10053715319372714,0.10048321491506483,0.10576074708452714,0.11302503717264958,0.12504713225644082,0.41782215277531315,0.08062532693812889,0.17217155991654312,0.11496868150412151,0.1526215986315427,0.08003905308266569,0.09990892285713926
