,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,500,0.22132386763890585
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,510,0.12981962164243063
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,493,0.20582964519659677
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,402,0.15050362050533295
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,405,0.16206701596577963
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,482,0.2314505378405253
btfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,364,0.4309261937936147
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,538,0.13263299316167831
allox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,474,0.301508088906606
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,500,0.2153526395559311
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,583,0.33664307991663617
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,463,0.14878668884436289
perid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,450,0.1764248013496399
