,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,317,0.26089000701904297
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,438,0.13159944117069244
chl_b,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,428,0.21814661721388498
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,404,0.1300400843222936
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,383,0.15179949005444845
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,449,0.22168689966201782
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,357,0.44492461284001666
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,456,0.1335742026567459
allox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,413,0.2974879542986552
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,446,0.20993749300638834
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,367,0.387102335691452
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,438,0.17165568470954895
