,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4]",0.1,0.01,s,mse,1,323,0.3248915175596873
chl_a,"[4, 4]",0.1,0.01,s,mse,1,385,0.21229283014933267
chl_b,"[4, 4]",0.1,0.01,s,mse,1,395,0.3677266538143158
chc12,"[4, 4]",0.1,0.01,s,mse,1,383,0.20482384165128073
fucox,"[4, 4]",0.1,0.01,s,mse,1,352,0.22558526694774628
hxfcx,"[4, 4]",0.1,0.01,s,mse,1,278,0.4480677743752797
btfcx,"[4, 4]",0.1,0.01,s,mse,1,413,0.6674714287122091
diadi,"[4, 4]",0.1,0.01,s,mse,1,340,0.23909897108872732
allox,"[4, 4]",0.1,0.01,s,mse,1,360,0.3905117114384969
diato,"[4, 4]",0.1,0.01,s,mse,1,382,0.3565375804901123
zeaxa,"[4, 4]",0.1,0.01,s,mse,1,395,0.6220901012420654
betac,"[4, 4]",0.1,0.01,s,mse,1,362,0.24832026660442352
perid,"[4, 4]",0.1,0.01,s,mse,1,355,0.2534886797269185
