,dims,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 2]",0.1,0.01,m,mse,1,246,0.2846714456876119
chl_a,"[4, 2]",0.1,0.01,m,mse,1,249,0.18842249115308127
chl_b,"[4, 2]",0.1,0.01,m,mse,1,242,0.3046730160713196
chc12,"[4, 2]",0.1,0.01,m,mse,1,260,0.1868530958890915
fucox,"[4, 2]",0.1,0.01,m,mse,1,258,0.1990652879079183
hxfcx,"[4, 2]",0.1,0.01,m,mse,1,289,0.3856583535671234
btfcx,"[4, 2]",0.1,0.01,m,mse,1,261,0.7165421446164449
diadi,"[4, 2]",0.1,0.01,m,mse,1,324,0.18297221263249716
allox,"[4, 2]",0.1,0.01,m,mse,1,218,0.39737702409426373
diato,"[4, 2]",0.1,0.01,m,mse,1,318,0.3210257391134898
zeaxa,"[4, 4, 2]",0.1,0.01,l,mse,1,234,0.60919588804245
betac,"[4, 2]",0.1,0.01,m,mse,1,245,0.2019056429465612
perid,"[4, 2]",0.1,0.01,m,mse,1,351,0.2003040462732315
