,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,463,0.23674620687961578
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,477,0.13186470915873846
chl_b,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,527,0.21455979843934378
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,440,0.13462623953819275
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,548,0.12804246445496878
hxfcx,"[4, 4, 4, 4, 4]","[3, 5, 7, 9, 11]",0.0,0.01,l,mse,1,469,0.23685607810815176
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,473,0.4814363817373912
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,520,0.13736169040203094
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,534,0.27924035986264545
diato,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,555,0.21580653886000314
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,553,0.36463401714960736
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,497,0.13336507976055145
perid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,508,0.16760448614756265
