,dims,kernel_sizes,dropout,reg_factor,name,loss,output_dim,epochs,val_loss
chlid,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,379,0.23475677271684012
chl_a,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,407,0.13305512070655823
chl_b,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,514,0.20919570326805115
chc12,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,388,0.13150267799695334
fucox,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,467,0.1331407974163691
hxfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,495,0.22239535550276437
btfcx,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,388,0.4802217483520508
diadi,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,470,0.13072491933902106
allox,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,459,0.2785288989543915
diato,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,471,0.21418680250644684
zeaxa,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,487,0.35521769523620605
betac,"[4, 4, 4]","[3, 5, 7]",0.0,0.01,s,mse,1,430,0.1366632084051768
perid,"[4, 4, 4, 4]","[3, 5, 7, 9]",0.0,0.01,m,mse,1,476,0.17268439630667368
